architecture,latency_ms
agentic_graph_rag,2225.0
agentic_graph_rag,2524.0
agentic_graph_rag,2354.0
agentic_graph_rag,2252.0
agentic_graph_rag,2150.0
agentic_graph_rag,2480.0
agentic_graph_rag,3405.0
agentic_graph_rag,1739.0
agentic_graph_rag,2456.0
agentic_graph_rag,2391.0
agentic_graph_rag,2317.0
agentic_graph_rag,2290.0
agentic_graph_rag,2145.0
agentic_graph_rag,2524.0
agentic_graph_rag,2353.0
agentic_graph_rag,1842.0
agentic_graph_rag,2356.0
agentic_graph_rag,3069.0
agentic_graph_rag,2893.0
agentic_graph_rag,2891.0
agentic_graph_rag,2814.0
agentic_graph_rag,3569.0
agentic_graph_rag,2626.0
agentic_graph_rag,4348.0
agentic_graph_rag,7473.0
agentic_graph_rag,2355.0
agentic_graph_rag,2355.0
agentic_graph_rag,2412.0
agentic_graph_rag,3114.0
agentic_graph_rag,4097.0
agentic_graph_rag,2453.0
agentic_graph_rag,2561.0
agentic_graph_rag,2763.0
agentic_graph_rag,2764.0
agentic_graph_rag,2760.0
agentic_graph_rag,2882.0
agentic_graph_rag,2543.0
agentic_graph_rag,3187.0
agentic_graph_rag,1995.0
agentic_graph_rag,2904.0
agentic_graph_rag,3323.0
agentic_graph_rag,2615.0
agentic_graph_rag,2045.0
agentic_graph_rag,2764.0
agentic_graph_rag,2842.0
agentic_graph_rag,3095.0
agentic_graph_rag,2559.0
agentic_graph_rag,2347.0
agentic_graph_rag,2506.0
agentic_graph_rag,3232.0
agentic_graph_rag,2458.0
agentic_graph_rag,3991.0
agentic_graph_rag,2047.0
agentic_graph_rag,2559.0
agentic_graph_rag,2559.0
agentic_graph_rag,2661.0
agentic_graph_rag,4117.0
agentic_graph_rag,3559.0
agentic_graph_rag,2559.0
agentic_graph_rag,3481.0
agentic_graph_rag,3583.0
agentic_graph_rag,2560.0
agentic_graph_rag,2454.0
agentic_graph_rag,3275.0
agentic_graph_rag,2461.0
agentic_graph_rag,3277.0
agentic_graph_rag,2865.0
agentic_graph_rag,2150.0
agentic_graph_rag,4235.0
agentic_graph_rag,3118.0
agentic_graph_rag,2577.0
agentic_graph_rag,3500.0
agentic_graph_rag,2553.0
agentic_graph_rag,2237.0
agentic_graph_rag,3890.0
agentic_graph_rag,2251.0
agentic_graph_rag,2608.0
agentic_graph_rag,2741.0
agentic_graph_rag,2636.0
